       CYCLE                    TASK                       JOBID               STATE         EXIT STATUS     TRIES      DURATION
197001010000    control_p8_faster_intel                      289766           SUCCEEDED                   0         1         154.0
197001010000    regional_control_faster_intel                      289767           SUCCEEDED                   0         1         221.0
197001010000    compile_atm_debug_dyn32_intel                      289757           SUCCEEDED                   0         1         182.0
197001010000    control_CubedSphereGrid_debug_intel                      289764           SUCCEEDED                   0         1         123.0
197001010000    control_wrtGauss_netcdf_parallel_debug_intel                      289763           SUCCEEDED                   0         1         128.0
197001010000    control_stochy_debug_intel                      289762           SUCCEEDED                   0         1         130.0
197001010000    control_lndp_debug_intel                      289769           SUCCEEDED                   0         1         116.0
197001010000    control_csawmg_debug_intel                      289768           SUCCEEDED                   0         1         210.0
197001010000    control_ras_debug_intel                      289770           SUCCEEDED                   0         1         125.0
197001010000    control_diag_debug_intel                      289771           SUCCEEDED                   0         1         156.0
197001010000    control_debug_p8_intel                      289773           SUCCEEDED                   0         1         143.0
197001010000    regional_debug_intel                      289772           SUCCEEDED                   0         1         742.0
197001010000    rap_control_debug_intel                      289774           SUCCEEDED                   0         1         216.0
197001010000    hrrr_control_debug_intel                      289776           SUCCEEDED                   0         1         211.0
197001010000     hrrr_gf_debug_intel                      289775           SUCCEEDED                   0         1         215.0
197001010000     hrrr_c3_debug_intel                      289777           SUCCEEDED                   0         1         219.0
197001010000    rap_diag_debug_intel                      289778           SUCCEEDED                   0         1         262.0
197001010000    rap_cires_ugwp_debug_intel                      289779           SUCCEEDED                   0         1         218.0
197001010000    rap_lndp_debug_intel                      289780           SUCCEEDED                   0         1         217.0
197001010000    rap_progcld_thompson_debug_intel                      289781           SUCCEEDED                   0         1         223.0
197001010000    rap_noah_debug_intel                      289784           SUCCEEDED                   0         1         212.0
197001010000    rap_sfcdiff_debug_intel                      289782           SUCCEEDED                   0         1         219.0
197001010000    rap_noah_sfcdiff_cires_ugwp_debug_intel                      289783           SUCCEEDED                   0         1         345.0
197001010000    rrfs_v1beta_debug_intel                      289785           SUCCEEDED                   0         1         216.0
197001010000    rap_clm_lake_debug_intel                      289788           SUCCEEDED                   0         1         215.0
197001010000    rap_flake_debug_intel                      289786           SUCCEEDED                   0         1         213.0
197001010000    gnv1_c96_no_nest_debug_intel                      289790           SUCCEEDED                   0         1         364.0
197001010000    compile_wam_debug_intel                      289756           SUCCEEDED                   0         1         101.0
197001010000    control_wam_debug_intel                      289760           SUCCEEDED                   0         1         578.0
197001010000    compile_rrfs_dyn32_phy32_intel                      289759           SUCCEEDED                   0         1         333.0
